post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
1366344750222304,"Hey Brumfessors,
We are back!
We were alerted to the fact our page wasn't looking quite as it always does and the majority of confessions were missing.
This was due to a cyber attack on the service ‘Crush.Ninja’ which we operate through (this attack was a ‘DDoS’ attack which sends large amounts of data to a server to overwhelm it and limit access to it).
This means that we are fairly certain no data has been lost or compromised, especially as crush ninja only stores partial information, which can be found on their terms and conditions here: https://www.crush.ninja/en-us/privacy/
Posts have come through now and we will catch up with posting more!
We will keep you posted if we get more information,
Thanks for your patience,
Brumfess
CRUSH.NINJA
Privacy Policy","Hey Brumfessors,
We are back!
We were alerted to the fact our page wasn't looking quite as it always does and the majority of confessions were missing.
This was due to a cyber attack on the service ‘Crush.Ninja’ which we operate through (this attack was a ‘DDoS’ attack which sends large amounts of data to a server to overwhelm it and limit access to it).
This means that we are fairly certain no data has been lost or compromised, especially as crush ninja only stores partial information, which can be found on their terms and conditions here: https://www.crush.ninja/en-us/privacy/
Posts have come through now and we will catch up with posting more!
We will keep you posted if we get more information,
Thanks for your patience,
Brumfess","CRUSH.NINJA
Privacy Policy",1595362102,https://external.fhfa1-1.fna.fbcdn.net/safe_image.php?d=AQBCv2zVuPmqKMJ-&w=476&h=249&url=https%3A%2F%2Fwww.crush.ninja%2Fstatic%2Fimg%2Flogo.png&cfs=1&jq=75&ext=jpg&_nc_hash=AQA_hqNBn8BOBq4D,,10,1,0,https://m.facebook.com/story.php?story_fbid=1366344750222304&id=882389841951133,https://www.crush.ninja/en-us/privacy/
1370338733156239,"#Brumfess42428
I have a question for gamers.
How much does your opinion of a game depend on graphics? This is obviously coming after the Halo infinite trailer and it's brute meme. Can a game with very mediocre graphics but an amazing expansive story be enough for the game to be amazing? Not saying Halo infinite will have this but we can hope. I'm still very excited for the game but just wanted others opinions that aren't just Twitter trolls.
Submitted: July 26, 2020 9:50:49 AM GMT","#Brumfess42428
I have a question for gamers.
How much does your opinion of a game depend on graphics? This is obviously coming after the Halo infinite trailer and it's brute meme. Can a game with very mediocre graphics but an amazing expansive story be enough for the game to be amazing? Not saying Halo infinite will have this but we can hope. I'm still very excited for the game but just wanted others opinions that aren't just Twitter trolls.
Submitted: July 26, 2020 9:50:49 AM GMT",,1595758677,,,4,5,0,https://m.facebook.com/story.php?story_fbid=1370338733156239&id=882389841951133,
1370338633156249,"#Brumfess42427
My boyfriend smokes ALOT , I don’t know how or if I can deal with it anymore - advice please.
Submitted: July 26, 2020 9:59:00 AM GMT","#Brumfess42427
My boyfriend smokes ALOT , I don’t know how or if I can deal with it anymore - advice please.
Submitted: July 26, 2020 9:59:00 AM GMT",,1595758664,,,0,0,0,https://m.facebook.com/story.php?story_fbid=1370338633156249&id=882389841951133,
1370338559822923,"#Brumfess42426
TW: sexual assault, rape
Weighing in on the sexual assault convo...
When I was in first year, I got with a friend of a friend on a night out. We ended up sleeping together which was all well and good (and CONSENSUAL!!!!). Fast forward to the morning and I’m asleep, but I’m woken up by him having sex with me again. I was asleep. I couldn’t consent. I was raped in my own bed because a guy thought it was okay to have sex with a girl while she was sleeping.
Don’t tell me that consent and rape aren’t an issue - just because I consented once doesn’t mean that I would or even could consent again. Maybe instead of attacking women for making assault allegations, listen to them instead and maybe (WILD IDEA I KNOW) like LISTEN to them?
Submitted: July 26, 2020 9:58:12 AM GMT","#Brumfess42426
TW: sexual assault, rape
Weighing in on the sexual assault convo...
When I was in first year, I got with a friend of a friend on a night out. We ended up sleeping together which was all well and good (and CONSENSUAL!!!!). Fast forward to the morning and I’m asleep, but I’m woken up by him having sex with me again. I was asleep. I couldn’t consent. I was raped in my own bed because a guy thought it was okay to have sex with a girl while she was sleeping.
Don’t tell me that consent and rape aren’t an issue - just because I consented once doesn’t mean that I would or even could consent again. Maybe instead of attacking women for making assault allegations, listen to them instead and maybe (WILD IDEA I KNOW) like LISTEN to them?
Submitted: July 26, 2020 9:58:12 AM GMT",,1595758656,,,3,0,0,https://m.facebook.com/story.php?story_fbid=1370338559822923&id=882389841951133,
1370338439822935,"#Brumfess42425
Brumfess 'regulars': you do not need to have an opinion about everything. If you don't know about a subject or issue, keep schtum rather than giving out bad advice. I've seen so many factually inaccurate or downright damaging advice coming from you. Don't perpetuate the culture of weighing in just to have an opinion. Think before you try to 'help'. And no, I'm not a hater or whatever, never even made a brumfess before, I'm just worried because you're giving people completely illegitimate advice.
Submitted: July 26, 2020 9:55:26 AM GMT","#Brumfess42425
Brumfess 'regulars': you do not need to have an opinion about everything. If you don't know about a subject or issue, keep schtum rather than giving out bad advice. I've seen so many factually inaccurate or downright damaging advice coming from you. Don't perpetuate the culture of weighing in just to have an opinion. Think before you try to 'help'. And no, I'm not a hater or whatever, never even made a brumfess before, I'm just worried because you're giving people completely illegitimate advice.
Submitted: July 26, 2020 9:55:26 AM GMT",,1595758643,,,1,2,0,https://m.facebook.com/story.php?story_fbid=1370338439822935&id=882389841951133,
1370335219823257,"#Brumfess42424
There is also a whole other side to biphobia: fetishisation! The majority of men I have slept with tell me afterwards they think it’s soooo hot that I also like girls, some might even ask for threesomes or want to hear me talk about my sexual experiences with women because it’s ‘such a turn on’. WAKE UP PLEASE ! I do not sleep with women for your enjoyment!!!!! I LIKE GIRLS!!!! I like girls because I am attracted to them, not for the fucking male gaze!!!!
Submitted: July 26, 2020 8:48:30 AM GMT","#Brumfess42424
There is also a whole other side to biphobia: fetishisation! The majority of men I have slept with tell me afterwards they think it’s soooo hot that I also like girls, some might even ask for threesomes or want to hear me talk about my sexual experiences with women because it’s ‘such a turn on’. WAKE UP PLEASE ! I do not sleep with women for your enjoyment!!!!! I LIKE GIRLS!!!! I like girls because I am attracted to them, not for the fucking male gaze!!!!
Submitted: July 26, 2020 8:48:30 AM GMT",,1595758218,,,6,0,0,https://m.facebook.com/story.php?story_fbid=1370335219823257&id=882389841951133,
1370334306490015,"#Brumfess42423
#Brumfess42096
Most doctors did not get the pay rise that was recently announced either. Just like nurses, junior doctors, who make up 80% of hospital doctors, had an “agreed” 3 year pay rise in 2018 of 2% (which is below inflation & lower than the 4% nurses have received, which is criminal in itself btw) so were exempt too. This was the contract imposed on them following the 2016 strikes. GPs who make up over half of all doctors, were exempt as well because they are not directly salaried from the government.
So the only doctors - hospital consultants - who make up a minority of less than 20% are to receive the 2.8% extra announced by Boris. That equates to somewhere between £14-24 extra per week. And this is the first pay rise consultants have received in the last 12 years.
Over the last 10 years junior doctors have seen their salaries reduced by 1/3. So much for clapping and “thanking” the NHS.
Submitted: July 26, 2020 12:13:27 AM GMT","#Brumfess42423
#Brumfess42096
Most doctors did not get the pay rise that was recently announced either. Just like nurses, junior doctors, who make up 80% of hospital doctors, had an “agreed” 3 year pay rise in 2018 of 2% (which is below inflation & lower than the 4% nurses have received, which is criminal in itself btw) so were exempt too. This was the contract imposed on them following the 2016 strikes. GPs who make up over half of all doctors, were exempt as well because they are not directly salaried from the government.
So the only doctors - hospital consultants - who make up a minority of less than 20% are to receive the 2.8% extra announced by Boris. That equates to somewhere between £14-24 extra per week. And this is the first pay rise consultants have received in the last 12 years.
Over the last 10 years junior doctors have seen their salaries reduced by 1/3. So much for clapping and “thanking” the NHS.
Submitted: July 26, 2020 12:13:27 AM GMT",,1595758103,,,4,0,0,https://m.facebook.com/story.php?story_fbid=1370334306490015&id=882389841951133,
1370334093156703,"#Brumfess42422
my cat died today and i’m fucking heartbroken but i don’t feel like i can talk to anyone bc people don’t understand how much it hurts to lose a pet
Submitted: July 26, 2020 12:03:43 AM GMT","#Brumfess42422
my cat died today and i’m fucking heartbroken but i don’t feel like i can talk to anyone bc people don’t understand how much it hurts to lose a pet
Submitted: July 26, 2020 12:03:43 AM GMT",,1595758073,,,2,2,0,https://m.facebook.com/story.php?story_fbid=1370334093156703&id=882389841951133,
1370330989823680,"#Brumfess42421
seeing all the (correct) responses against some of the intense biphobic/transphobic really encourages me. it's good to see there are some people that aren't massive shitheads about this stuff ❤️
Submitted: July 26, 2020 12:00:40 AM GMT","#Brumfess42421
seeing all the (correct) responses against some of the intense biphobic/transphobic really encourages me. it's good to see there are some people that aren't massive shitheads about this stuff ❤️
Submitted: July 26, 2020 12:00:40 AM GMT",,1595757714,,,4,0,0,https://m.facebook.com/story.php?story_fbid=1370330989823680&id=882389841951133,
1370330916490354,"#Brumfess42420
Likeliness of fab opening up on October?
Submitted: July 25, 2020 11:21:55 PM GMT","#Brumfess42420
Likeliness of fab opening up on October?
Submitted: July 25, 2020 11:21:55 PM GMT",,1595757705,,,0,0,0,https://m.facebook.com/story.php?story_fbid=1370330916490354&id=882389841951133,
